statenum,stateabb,statenme,stday,stmonth,styear,endday,endmonth,endyear,source
2,USA,United States of America,1,1,1816,31,12,2012,list of independent states
20,CAN,Canada,1,7,1867,31,12,2012,list of independent states
31,BHM,Bahamas,10,7,1973,31,12,2012,list of independent states
40,CUB,Cuba,20,5,1902,31,12,2012,list of independent states
41,HAI,Haiti,1,1,1816,4,7,1915,list of independent states
41,HAI,Haiti,15,8,1934,31,12,2012,list of independent states
42,DOM,Dominican Republic,27,2,1844,31,12,2012,list of independent states
51,JAM,Jamaica,6,8,1962,31,12,2012,list of independent states
52,TRI,Trinidad and Tobago,31,8,1962,31,12,2012,list of independent states
53,BAR,Barbados,30,11,1966,31,12,2012,list of independent states
54,DMA,"Dominica				",3,11,1978,31,12,2012,list of microstatesÊ
55,GRN,"Grenada				",7,2,1974,31,12,2012,list of microstatesÊ
56,SLU,"Saint	 Lucia",22,2,1979,31,12,2012,list of microstatesÊ
57,SVG,"Saint	 Vincent and the Grenadines			",27,10,1979,31,12,2012,list of microstatesÊ
58,AAB,"Antigua & Barbuda				",1,11,1981,31,12,2012,list of microstatesÊ
60,SKN,"Saint	 Kitts	and Nevis",19,9,1983,31,12,2012,list of microstatesÊ
70,MEX,Mexico,1,7,1821,31,12,2012,list of independent states
80,BLZ,Belize,21,9,1981,31,12,2012,list of independent states
89,UPC,United Provinces of Central America,1,7,1823,31,12,1839,list of independent states
90,GUA,Guatemala,1,1,1840,31,12,2012,list of independent states
91,HON,Honduras,1,1,1840,31,12,2012,list of independent states
92,SAL,El Salvador,1,1,1840,31,12,2012,list of independent states
93,NIC,Nicaragua,1,1,1840,31,12,2012,list of independent states
94,COS,Costa Rica,1,1,1840,31,12,2012,list of independent states
95,PAN,Panama,3,11,1903,31,12,2012,list of independent states
99,GCL,Great Colombia,30,8,1821,22,9,1830,list of independent states
100,COL,Colombia,23,9,1830,31,12,2012,list of independent states
101,VEN,Venezuela,1,1,1829,31,12,2012,list of independent states
110,GUY,Guyana,26,5,1966,31,12,2012,list of independent states
115,SUR,Surinam,25,11,1975,31,12,2012,list of independent states
130,ECU,Ecuador,13,5,1830,31,12,2012,list of independent states
135,PER,Peru,9,12,1824,31,12,2012,list of independent states
140,BRA,Brazil,7,9,1822,31,12,2012,list of independent states
145,BOL,Bolivia,6,8,1825,31,12,2012,list of independent states
150,PAR,Paraguay,1,1,1816,31,12,2012,list of independent states
155,CHL,Chile,1,4,1818,31,12,2012,list of independent states
160,ARG,Argentina,9,7,1816,31,12,2012,list of independent states
165,URU,Uruguay,26,5,1830,31,12,2012,list of independent states
200,UKG,United Kingdom,1,1,1816,31,12,2012,list of independent states
205,IRE,Ireland,6,12,1921,31,12,2012,list of independent states
210,NTH,Netherlands,1,1,1816,31,12,2012,list of independent states
211,BEL,Belgium,4,10,1830,31,12,2012,list of independent states
212,LUX,Luxembourg,11,5,1867,31,12,2012,list of independent states
220,FRN,France,1,1,1816,31,12,2012,list of independent states
221,MNC,"Monaco		",1,1,1816,31,12,2012,list of microstatesÊ
223,LIE,"Liechtenstein				",1,1,1816,31,12,2012,list of microstatesÊ
225,SWZ,Switzerland,1,1,1816,31,12,2012,list of independent states
230,SPN,Spain,1,1,1816,31,12,2012,list of independent states
232,AND,"Andorra				",1,1,1816,31,12,2012,list of microstatesÊ
235,POR,Portugal,1,1,1816,31,12,2012,list of independent states
240,HAN,Hanover,1,1,1816,17,1,1871,list of independent states
245,BAV,Bavaria,1,1,1816,17,1,1871,list of independent states
255,GMY,Germany (Prussia),1,1,1816,7,5,1945,list of independent states
260,GFR,German Federal Republic,21,9,1949,31,12,2012,list of independent states
265,GDR,German Democratic Republic,5,10,1949,2,10,1990,list of independent states
267,BAD,Baden,1,1,1816,17,1,1871,list of independent states
269,SAX,Saxony,1,1,1816,17,1,1871,list of independent states
271,WRT,WÙrttemberg,1,1,1816,17,1,1871,list of independent states
273,HSE,Hesse-Kassel (Electoral),1,1,1816,17,1,1871,list of independent states
275,HSD,Hesse-Darmstadt (Ducal),1,1,1816,17,1,1871,list of independent states
280,MEC,Mecklenburg-Schwerin,1,1,1816,17,1,1871,list of independent states
290,POL,Poland,11,11,1918,31,12,2012,list of independent states
300,AUH,Austria-Hungary,1,1,1816,13,11,1918,list of independent states
305,AUS,Austria,14,11,1918,31,12,2012,list of independent states
310,HUN,Hungary,3,11,1918,31,12,2012,list of independent states
315,CZE,Czechoslovakia,11,11,1918,31,12,1992,list of independent states
316,CZR,Czech Republic,1,1,1993,31,12,2012,list of independent states
317,SLO,Slovakia,1,1,1993,31,12,2012,list of independent states
325,ITA,Italy/Sardinia,1,1,1816,31,12,2012,list of independent states
327,PAP,Papal States,1,1,1816,22,9,1870,list of independent states
329,SIC,Two Sicilies,1,1,1816,16,3,1861,list of independent states
331,SNM,"San Marino				",1,1,1816,31,12,2012,list of microstatesÊ
332,MOD,Modena,1,1,1816,16,3,1861,list of independent states
335,PMA,Parma,1,1,1816,16,3,1861,list of independent states
337,TUS,Tuscany,1,1,1816,16,3,1861,list of independent states
338,MLT,Malta,21,9,1964,31,12,2012,list of independent states
339,ALB,Albania,1,1,1913,31,12,2012,list of independent states
340,SER,Serbia,13,7,1878,1,10,1915,list of independent states
340,SER,Serbia,5,6,2006,31,12,2012,list of independent states
341,MNG,Montenegro,1,1,1868,1,7,1915,list of independent states
341,MNG,Montenegro,3,6,2006,31,12,2012,list of independent states
343,MAC,Macedonia (Former Yugoslav Republic of),20,11,1991,31,12,2012,list of independent states
344,CRO,Croatia,27,4,1992,31,12,2012,list of independent states
345,YUG,Yugoslavia,1,12,1918,4,6,2006,list of independent states
346,BOS,Bosnia-Herzegovina,27,4,1992,31,12,2012,list of independent states
347,KOS,Kosovo,17,2,2008,31,12,2012,list of independent states
349,SLV,Slovenia,27,4,1992,31,12,2012,list of independent states
350,GRC,Greece,25,4,1828,31,12,2012,list of independent states
352,CYP,Cyprus,16,8,1960,31,12,2012,list of independent states
355,BUL,Bulgaria,3,3,1878,31,12,2012,list of independent states
359,MLD,Moldova,27,8,1991,31,12,2012,list of independent states
360,RUM,Rumania,13,7,1878,31,12,2012,list of independent states
365,RUS,Russia (Soviet Union),1,1,1816,31,12,2012,list of independent states
366,EST,Estonia,11,11,1918,1,6,1940,list of independent states
366,EST,Estonia,6,9,1991,31,12,2012,list of independent states
367,LAT,Latvia,11,11,1918,1,6,1940,list of independent states
367,LAT,Latvia,6,9,1991,31,12,2012,list of independent states
368,LIT,Lithuania,16,2,1918,1,6,1940,list of independent states
368,LIT,Lithuania,6,9,1991,31,12,2012,list of independent states
369,UKR,Ukraine,1,12,1991,31,12,2012,list of independent states
370,BLR,Belarus (Byelorussia),25,8,1991,31,12,2012,list of independent states
371,ARM,Armenia,21,12,1991,31,12,2012,list of independent states
372,GRG,Georgia,6,9,1991,31,12,2012,list of independent states
373,AZE,Azerbaijan,21,12,1991,31,12,2012,list of independent states
375,FIN,Finland,6,12,1917,31,12,2012,list of independent states
